parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,carbon,temp
epRA,1,-14.145376227668015,-14.137250529141967,-14.142161995327154,-14.384335320693802,-13.897635600297901,0.95,acetate,37
sigma,1,0.3477146362144004,0.3486895815371607,0.3454944649764876,0.2609840938907317,0.44215917499942936,0.95,acetate,37
epRA,1,-15.793115157396125,-15.785493129388588,-15.789295120198188,-16.09654808836866,-15.498603713223572,0.95,glucose,32
sigma,1,0.30496045954446765,0.3039068156404098,0.30267796794625607,0.20715269085903684,0.40884683906726993,0.95,glucose,32
epRA,1,-14.50507706221114,-14.50293763493333,-14.503416344758918,-14.831886416039108,-14.160975251019918,0.95,glucose,37
sigma,1,0.4598206827490334,0.4613734459512515,0.4579524456235232,0.37216554129665275,0.5490488643365673,0.95,glucose,37
epRA,1,-13.671704308731632,-13.671788122690447,-13.671862277073132,-13.83857921077771,-13.495701457978583,0.95,glucose,42
sigma,1,0.23776169131787184,0.2346537977499853,0.23476642447251733,0.15518931317169568,0.32650607954206595,0.95,glucose,42
epRA,1,-14.600244850398466,-14.59690566728708,-14.597190740162247,-14.773998598988548,-14.434296590553396,0.95,glycerol,37
sigma,1,0.3879438121251563,0.38685569834269073,0.38631468593362867,0.31027896569883007,0.4729119664342693,0.95,glycerol,37
