,parameter,value
0,max df,0.011296120217203524
1,max df std,8.447124295934101e-05
2,max df stderr,8.447124295934101e-06
3,time of max df,421.1266666666668
4,time of max df std,11.7165865336283
5,time of max df stderr,1.17165865336283
6,inverse max df,61.36495065335221
7,inverse max df std,0.45792453994681326
8,inverse max df stderr,0.04579245399468133
9,max y,0.26009839778068594
10,max y std,0.0033664508248334793
11,max y stderr,0.00033664508248334795
12,lag time,305.12484893843043
13,lag time std,1.8161500154895056
14,lag time stderr,0.18161500154895055
