parameter,value
max df,0.02735468416942735
max df std,0.0002608020903690742
max df stderr,2.6080209036907417e-05
time of max df,142.03666666666666
time of max df std,3.442833135660223
time of max df stderr,0.34428331356602226
inverse max df,25.341553096517515
inverse max df std,0.24159204200508974
inverse max df stderr,0.024159204200508974
max y,0.7749930110406312
max y std,0.017661487673246004
max y stderr,0.0017661487673246005
lag time,64.95590781138232
lag time std,1.0761002636233183
lag time stderr,0.10761002636233183
doubling time,25.33924998975617
